display,name
😁,grinning face with smiling eyes
😂,face with tears of joy
😃,smiling face with open mouth
😄,smiling face with open mouth and smiling eyes
😅,smiling face with open mouth and cold sweat
😆,smiling face with open mouth and tightly-closed eyes
😇,smiling face with halo
😈,smiling face with horns
😉,winking face
😊,smiling face with smiling eyes
😋,face savouring delicious food
😌,relieved face
😍,smiling face with heart-shaped eyes
😎,smiling face with sunglasses
😏,smirking face
😐,neutral face
😑,expressionless face
😒,unamused face
😓,face with cold sweat
😔,pensive face
😕,confused face
😖,confounded face
😗,kissing face
😘,face throwing a kiss
😙,kissing face with smiling eyes
😚,kissing face with closed eyes
😛,face with stuck-out tongue
😜,face with stuck-out tongue and winking eye
😝,face with stuck-out tongue and tightly-closed eyes
😞,disappointed face
😟,worried face
😠,angry face
😡,pouting face
😢,crying face
😣,persevering face
😤,face with look of triumph
😥,disappointed but relieved face
😦,frowning face with open mouth
😧,anguished face
😨,fearful face
😩,weary face
😪,sleepy face
😫,tired face
😬,grimacing face
😭,loudly crying face
😮‍💨,face exhaling
😮,face with open mouth
😯,hushed face
😰,face with open mouth and cold sweat
😱,face screaming in fear
😲,astonished face
😳,flushed face
😴,sleeping face
😵‍💫,face with spiral eyes
😵,dizzy face
😶‍🌫️,face in clouds
😶,face without mouth
😷,face with medical mask
😸,grinning cat face with smiling eyes
😹,cat face with tears of joy
😺,smiling cat face with open mouth
😻,smiling cat face with heart-shaped eyes
😼,cat face with wry smile
😽,kissing cat face with closed eyes
😾,pouting cat face
😿,crying cat face
🙀,weary cat face
🙁,slightly frowning face
🙂‍↔️,head shaking horizontally
🙂‍↕️,head shaking vertically
🙂,slightly smiling face
🙃,upside-down face
🙄,face with rolling eyes
🙅‍♀️,woman gesturing no
🙅‍♂️,man gesturing no
🙅,face with no good gesture
🙆‍♀️,woman gesturing ok
🙆‍♂️,man gesturing ok
🙆,face with ok gesture
🙇‍♀️,woman bowing
🙇‍♂️,man bowing
🙇,person bowing deeply
🙈,see-no-evil monkey
🙉,hear-no-evil monkey
🙊,speak-no-evil monkey
🙋‍♀️,woman raising hand
🙋‍♂️,man raising hand
🙋,happy person raising one hand
🙌,person raising both hands in celebration
🙍‍♀️,woman frowning
🙍‍♂️,man frowning
🙍,person frowning
🙎‍♀️,woman pouting
🙎‍♂️,man pouting
🙎,person with pouting face
🙏,person with folded hands
🚀,rocket
🚁,helicopter
